fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento,caudal_log,nivel_lag1,caudal_lag1,nivel_lag2,caudal_lag2,lluvia_3d,lluvia_7d,lluvia_media_7d,nivel_diff,caudal_diff,nivel_media_3,caudal_media_3,nivel_media_7,caudal_media_7,dia_sin,dia_cos
2020-01-09,0.48,4.02,0.6,0,1.6134299337036377,0.3,1.0438040521731147,0.23,0.7793248768009976,0.6,0.6,0.19999999999999998,0.18,2.1799999999999997,0.33666666666666667,2.3466666666666662,0.33666666666666667,2.3466666666666662,0.15389057670406178,0.9880878960910772
2020-01-10,0.3,1.84,2.6,0,1.0438040521731147,0.48,1.6134299337036377,0.3,1.0438040521731147,3.2,3.2,0.8,-0.18,-2.1799999999999997,0.36000000000000004,2.5666666666666664,0.3275,2.2199999999999998,0.17082974322534417,0.985300562686109
2020-01-11,0.3,1.84,0.2,0,1.0438040521731147,0.3,1.0438040521731147,0.48,1.6134299337036377,3.4000000000000004,3.4000000000000004,0.68,0.0,0.0,0.35999999999999993,2.5666666666666664,0.32199999999999995,2.1439999999999997,0.1877185654371987,0.9822228566828407
2020-01-12,0.3,1.84,0.0,0,1.0438040521731147,0.3,1.0438040521731147,0.3,1.0438040521731147,2.8000000000000003,3.4000000000000004,0.5666666666666668,0.0,0.0,0.3,1.84,0.3183333333333333,2.0933333333333333,0.2045520661262008,0.9788556850953578
2020-01-13,0.3,1.84,0.0,0,1.0438040521731147,0.3,1.0438040521731147,0.3,1.0438040521731147,0.2,3.4000000000000004,0.48571428571428577,0.0,0.0,0.3,1.84,0.3157142857142857,2.057142857142857,0.22132528438243257,0.9752000402445825
2020-01-14,0.3,1.84,0.0,0,1.0438040521731147,0.3,1.0438040521731147,0.3,1.0438040521731147,0.0,3.4000000000000004,0.48571428571428577,0.0,0.0,0.3,1.84,0.3257142857142857,2.1514285714285717,0.2380332770614856,0.9712569994658314
2020-01-15,0.3,1.84,0.2,0,1.0438040521731147,0.3,1.0438040521731147,0.3,1.0438040521731147,0.2,3.6,0.5142857142857143,0.0,0.0,0.3,1.84,0.3257142857142857,2.1514285714285717,0.2546711202412287,0.9670277247913204
2020-01-16,0.3,1.84,5.4,0,1.0438040521731147,0.3,1.0438040521731147,0.3,1.0438040521731147,5.6000000000000005,8.4,1.2,0.0,0.0,0.3,1.84,0.3,1.84,0.27123391067291003,0.9625134626077081
2020-01-17,0.29,1.75,0.0,0,1.0116009116784799,0.3,1.0438040521731147,0.3,1.0438040521731147,5.6000000000000005,5.800000000000001,0.8285714285714286,-0.010000000000000009,-0.09000000000000008,0.29666666666666663,1.8100000000000003,0.29857142857142854,1.8271428571428572,0.287716767226167,0.9577155432887803
2020-01-18,0.3,1.84,11.0,0,1.0438040521731147,0.29,1.0116009116784799,0.3,1.0438040521731147,16.4,16.6,2.3714285714285714,0.010000000000000009,0.09000000000000008,0.29666666666666663,1.8099999999999998,0.29857142857142854,1.8271428571428572,0.30411483232751785,0.9526353808033826
