fecha,nivel_m,caudal_m3s,desbordamiento,lluvia,lluvia_mm,nivel_interpolado,caudal_interpolado,lluvia_interpolada,dato_original_completo,municipio_Arroyo,municipio_Asco,municipio_Castejon,municipio_Logroño,municipio_Mendavia,municipio_Miranda del Ebro,municipio_Palazuelos,municipio_Reinosa-Nestares,municipio_Riosequillo,municipio_Tortosa,municipio_Tudela,municipio_Zaragoza
2020-02-20,0.31,1.94,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0.29,1.75,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0.29,1.75,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0.29,1.75,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0.3,1.84,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0.33,2.15,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0.31,1.94,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0.3,1.84,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0.29,1.75,0.0,0.4,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0.29,1.75,0.0,3.2,3.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0.29,1.75,0.0,23.2,23.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0.32,2.05,0.0,2.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0.29,1.75,0.0,0.4,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0.25,1.37,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0.25,1.37,0.0,2.4,2.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0.28,1.65,0.0,9.0,9.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0.25,1.37,0.0,1.6,1.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0.25,1.37,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0.66,8.92,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0.21,0.99,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0.22,1.09,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0.22,1.09,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0.22,1.09,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0.22,1.09,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0.22,1.09,0.0,1.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0.22,1.09,0.0,2.2,2.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0.22,1.09,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,0.23,1.18,0.0,1.6,1.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0.23,1.18,0.0,1.4,1.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,0.23,1.18,0.0,0.6,0.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,0.23,1.18,0.0,2.8,2.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,0.23,1.18,0.0,3.2,3.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,0.23,1.18,0.0,6.6,6.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,0.25,1.37,0.0,12.2,12.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,0.24,1.28,0.0,2.2,2.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,0.3,1.84,0.0,20.4,20.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,0.25,1.37,0.0,11.6,11.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
